business_name,category,city,address,phone,source
حصن الظفرة Al Dhafra Fort,Museum,Abu Dhabi,PXMJ+H7J حصن الظفرة Al Dhafra Fort - Unnamed Road - Abu Dhabi - United Arab Emirates,,Google Maps
Rafiullah,Museum,Abu Dhabi,MP4R+WQJ Rafiullah - Zayed City - Abu Dhabi - United Arab Emirates,9.72E+11,Google Maps
National Museum of Oman,"National museum, Museum, Tourist attraction",Muscat,"National Museum of Oman, opposite Al Alam Palace، Al Saidiya St, Muscat, Oman",96822081500,Google Maps
Science and Industry Museum,"Science museum, Heritage museum, Museum, Tourist attraction",Manchester,"Science and Industry Museum, Liverpool Rd, Manchester M3 4JP, United Kingdom",4.43E+11,Google Maps
"Beamish, the Living Museum of the North","Open air museum, Museum, Tourist attraction",Stanley,"Beamish, the Living Museum of the North, Stanley DH9 0RG, United Kingdom",4.42E+11,Google Maps
Birmingham Museum & Art Gallery,"Museum, Art gallery, Art museum, Tourist attraction",Birmingham,"Birmingham Museum & Art Gallery, Chamberlain Sq, Birmingham B3 3DH, United Kingdom",4.41E+11,Google Maps
IWM Duxford,"War museum, Museum, Tour agency, Tourist attraction",Cambridge,"IWM Duxford, IWM Duxford Airfield, Cambridge CB22 4QR, United Kingdom",4.42E+11,Google Maps
Umerkot Fort Museum,"Archaeological museum, Museum",Umarkot,"9P7P+4QG Umerkot Fort Museum, Moolchand Khati Road, Umarkot, Umerkot, Sindh, Pakistan",92405454554,Google Maps
Kelvingrove Art Gallery and Museum,"Museum, Art gallery, Tourist attraction",Glasgow,"Kelvingrove Art Gallery and Museum, Argyle St, Glasgow G3 8AG, United Kingdom",4.41E+11,Google Maps
Black Country Living Museum,"Open air museum, History museum, Tourist attraction",Dudley,"Black Country Living Museum, Discovery Wy, Dudley DY1 4AL, United Kingdom",4.41E+11,Google Maps
Lincoln Museum,"Museum, Art gallery, Tourist attraction",Lincoln,"Lincoln Museum, 1 Danes Terrace, Lincoln LN2 1LP, United Kingdom",4.42E+11,Google Maps
Horniman Museum and Gardens,"Museum, Aquarium, Park, Tourist attraction",London,"Horniman Museum and Gardens, 100 London Rd, London SE23 3PQ, United Kingdom",4.42E+11,Google Maps
The Tank Museum,"Army museum, Museum, Tourist attraction",Wareham,"The Tank Museum, R A C Tank Museum, Linsay Rd, Bovington, Wareham BH20 6JG, United Kingdom",4.42E+11,Google Maps
the Design Museum,"Museum, Tourist attraction",London,"the Design Museum, 224-238 Kensington High St, London W8 6AG, United Kingdom",4.42E+11,Google Maps
Oxford University Museum of Natural History,"Natural history museum, Museum, Non-profit organization, Tourist attraction, Academic department",Oxford,"Oxford University Museum of Natural History, Parks Rd, Oxford OX1 3PW, United Kingdom",4.42E+11,Google Maps
National Museum,"Art museum, Museum",Stockholm,"National Museum, Södra Blasieholmshamnen 2, 111 48 Stockholm, Sweden",46851954300,Google Maps
Royal Air Force Museum London,"Museum, Tourist attraction",London,"Royal Air Force Museum London, Grahame Park Way, London NW9 5LL, United Kingdom",4.42E+11,Google Maps
